name,group,first_side,tags,unit,main_loops,candidate_loops,loop_matched,main_mean_seconds,candidate_mean_seconds,candidate_over_main,time_change_percent,speedup,pyperf_significant,pyperf_t_score,main_stdev_percent,candidate_stdev_percent
sqlalchemy_declarative,A,main,,second,2,2,True,0.08978728559644272,0.09015732468881955,1.0041212861032462,0.41212861032462467,0.9958956291831638,False,-1.1427749243415333,1.7659085473206226,2.155642199191609
sqlalchemy_imperative,B,candidate,,second,16,16,True,0.008806674978889836,0.007772670025588013,0.8825884961372596,-11.741150386274036,1.1330308568224081,True,7.457918258510509,7.650931929023565,10.759156337591447
sqlglot_v2_normalize,A,main,,second,2,2,True,0.07116700087984403,0.07169546129492423,1.0074256384075035,0.7425638407503543,0.9926290952657889,False,-1.734042677696599,1.4074951282575907,2.981468144239499
sqlglot_v2_optimize,B,candidate,,second,4,4,True,0.03554125149579098,0.0361797368619591,1.0179646281235688,1.7964628123568804,0.9823524043692134,True,-10.113492060075409,0.8286668075426918,1.0790071869131923
sqlglot_v2_parse,A,main,,second,256,256,True,0.0007171652198546023,0.000716430560654165,0.9989756067638275,-0.10243932361725383,1.0010254436937565,False,0.318186960209129,2.0381632571738244,1.4384429557286469
sqlglot_v2_transpile,B,candidate,,second,128,128,True,0.0009395280057409157,0.0009550345234553485,1.0165045827475938,1.650458274759381,0.9837633956327259,True,-5.659791399495883,1.7268195017457655,1.4324886009097857
sqlite_synth,A,main,,second,65536,65536,True,1.5843026062611898e-06,1.5650279204730091e-06,0.9878339619514562,-1.216603804854377,1.0123158734333348,True,8.349406558050788,1.0915845387237464,0.2905048500014948
subparsers,A,main,,second,32,32,True,0.006108464655214144,0.005958690440941912,0.975480874045103,-2.4519125954897025,1.0251354245965085,True,8.015597691483556,1.6997525383220424,1.6922688044995597
sympy_expand,B,candidate,,second,1,1,True,0.2835496570914984,0.2740566130106648,0.9665206998371708,-3.3479300162829184,1.03463898928235,True,10.613989864689978,1.815929838774891,1.6912529291149392
sympy_integrate,B,candidate,,second,8,8,True,0.01369405755152305,0.013367427155996363,0.9761480193654978,-2.3851980634502223,1.024434798986742,True,11.517363248034622,0.9947081460555595,1.2892734870149203
