PHASE imports
COMPILE calls=0 ok=0 ns=0
PROFILE method=1 op=_LOAD_SMALL_INT_1 count=106970
PROFILE method=1 op=_LOCK_OBJECT count=801778
PROFILE method=1 op=_MAKE_HEAP_SAFE count=1547366
PROFILE method=1 op=_MAKE_WARM count=2367446
PROFILE method=1 op=_METHOD_DEOPT count=1043586
PROFILE method=1 op=_METHOD_EXIT count=1323860
PROFILE method=1 op=_METHOD_ITER_JUMP_LIST count=437754
PROFILE method=1 op=_METHOD_JUMP count=2286412
PROFILE method=1 op=_METHOD_POP_JUMP_IF_FALSE count=1387430
PROFILE method=1 op=_METHOD_POP_JUMP_IF_TRUE count=781051
PROFILE method=1 op=_POP_TOP_INT count=5253537
PROFILE method=1 op=_POP_TOP_OPARG count=215955
PROFILE method=1 op=_PUSH_FRAME count=223506
PROFILE method=1 op=_PUSH_NULL_CONDITIONAL count=9482755
PROFILE method=1 op=_PUSH_TAGGED_ZERO count=255623
PROFILE method=1 op=_RETURN_VALUE count=1547366
PROFILE method=1 op=_SAVE_RETURN_OFFSET count=223506
PROFILE method=1 op=_SPILL_OR_RELOAD count=21923473
PROFILE method=1 op=_START_EXECUTOR count=2367446
PROFILE method=1 op=_STORE_ATTR_INSTANCE_VALUE count=801778
PROFILE method=1 op=_STORE_SUBSCR_LIST_INT count=448326
PROFILE method=1 op=_SWAP_2 count=681922
PROFILE method=1 op=_SWAP_FAST_1 count=108985
PROFILE method=1 op=_SWAP_FAST_2 count=1610411
PROFILE method=1 op=_SWAP_FAST_3 count=205860
PROFILE method=1 op=_TIER2_RESUME_CHECK count=3022862
PROFILE method=1 op=_TO_BOOL_INT count=108985
COMPILE calls=15 ok=0 ns=308240
